batter,player_name,total_pa,uab,cab,uab_rate,cab_rate,PCA+
807799,masataka yoshida,404,97,307,24.01,75.99,127.6
518934,dj lemahieu,228,55,173,24.12,75.88,126.8
672695,geraldo perdomo,373,90,283,24.13,75.87,126.8
676475,alec burleson,581,141,440,24.27,75.73,125.8
666023,freddy fermin,365,89,276,24.38,75.62,125.0
545121,ildemaro vargas,303,74,229,24.42,75.58,124.8
592518,manny machado,638,156,482,24.45,75.55,124.6
650490,yandy díaz,605,148,457,24.46,75.54,124.5
656941,kyle schwarber,697,171,526,24.53,75.47,124.0
543760,marcus semien,701,173,528,24.68,75.32,123.0
663538,nico hoerner,628,155,473,24.68,75.32,123.0
663993,nathaniel lowe,567,140,427,24.69,75.31,123.0
656716,zach mckinstry,328,81,247,24.7,75.3,122.9
672386,alejandro kirk,372,92,280,24.73,75.27,122.7
605170,víctor caratini,279,69,210,24.73,75.27,122.7
545341,randal grichuk,279,69,210,24.73,75.27,122.7
669257,will smith,536,133,403,24.81,75.19,122.2
694671,wyatt langford,544,135,409,24.82,75.18,122.1
663757,trent grisham,205,51,154,24.88,75.12,121.7
672580,maikel garcía,638,159,479,24.92,75.08,121.5
660670,ronald acuña,208,52,156,25.0,75.0,120.9
693304,nick gonzales,387,97,290,25.06,74.94,120.5
668939,adley rutschman,632,159,473,25.16,74.84,119.9
663527,tyler nevin,278,70,208,25.18,74.82,119.8
643376,danny jansen,325,82,243,25.23,74.77,119.5
663886,tyler stephenson,507,128,379,25.25,74.75,119.4
643217,andrew benintendi,510,129,381,25.29,74.71,119.1
547180,bryce harper,631,160,471,25.36,74.64,118.7
518692,freddie freeman,618,157,461,25.4,74.6,118.4
686681,michael massey,380,97,283,25.53,74.47,117.6
571448,nolan arenado,615,157,458,25.53,74.47,117.6
669003,garrett mitchell,231,59,172,25.54,74.46,117.5
669304,josé miranda,430,110,320,25.58,74.42,117.3
656305,matt chapman,629,161,468,25.6,74.4,117.2
646240,rafael devers,578,148,430,25.61,74.39,117.1
602104,ramón urías,300,77,223,25.67,74.33,116.8
663586,austin riley,456,117,339,25.66,74.34,116.8
647304,josh naylor,635,163,472,25.67,74.33,116.7
457759,justin turner,524,135,389,25.76,74.24,116.2
516782,starling marte,384,99,285,25.78,74.22,116.1
630105,jake cronenworth,654,169,485,25.84,74.16,115.7
624424,michael conforto,471,122,349,25.9,74.1,115.3
668942,josh rojas,467,121,346,25.91,74.09,115.3
518735,yasmani grandal,243,63,180,25.93,74.07,115.2
683737,michael busch,555,144,411,25.95,74.05,115.1
592626,joc pederson,439,114,325,25.97,74.03,114.9
647351,abraham toro,358,93,265,25.98,74.02,114.9
663616,trevor larnach,400,104,296,26.0,74.0,114.7
607208,trea turner,546,142,404,26.01,73.99,114.7
669364,xavier edwards,303,79,224,26.07,73.93,114.3
643446,jeff mcneil,460,120,340,26.09,73.91,114.2
677594,julio rodríguez,598,156,442,26.09,73.91,114.2
593428,xander bogaerts,460,120,340,26.09,73.91,114.2
645277,ozzie albies,429,112,317,26.11,73.89,114.1
657077,alex verdugo,620,162,458,26.13,73.87,114.0
542303,marcell ozuna,681,178,503,26.14,73.86,113.9
676391,ernie clement,443,116,327,26.19,73.81,113.6
672275,patrick bailey,436,115,321,26.38,73.62,112.5
663728,cal raleigh,614,162,452,26.38,73.62,112.5
624585,jorge soler,564,149,415,26.42,73.58,112.3
665828,oswaldo cabrera,318,84,234,26.42,73.58,112.3
663697,jonathan india,624,165,459,26.44,73.56,112.1
641355,cody bellinger,552,146,406,26.45,73.55,112.1
502054,tommy pham,495,131,364,26.46,73.54,112.0
673490,ha-seong kim,442,117,325,26.47,73.53,112.0
500743,miguel rojas,340,90,250,26.47,73.53,112.0
572138,jon singleton,404,107,297,26.49,73.51,111.9
621439,byron buxton,376,100,276,26.6,73.4,111.3
650402,gleyber torres,668,178,490,26.65,73.35,111.0
681082,bryson stott,574,153,421,26.66,73.34,110.9
467793,carlos santana,581,155,426,26.68,73.32,110.8
677800,wilyer abreu,442,118,324,26.7,73.3,110.7
622534,manuel margot,340,91,249,26.76,73.24,110.3
668930,brice turang,619,166,453,26.82,73.18,110.0
671289,tyler freeman,369,99,270,26.83,73.17,109.9
521692,salvador pérez,661,178,483,26.93,73.07,109.4
621493,taylor ward,653,176,477,26.95,73.05,109.3
687401,joey ortiz,516,139,377,26.94,73.06,109.3
681146,jonah bride,267,72,195,26.97,73.03,109.2
671277,luis garcía,515,139,376,26.99,73.01,109.1
672761,wenceel pérez,441,119,322,26.98,73.02,109.1
592696,eddie rosario,310,84,226,27.1,72.9,108.5
642133,rowdy tellez,413,112,301,27.12,72.88,108.3
621566,matt olson,674,183,491,27.15,72.85,108.2
665833,oneil cruz,580,158,422,27.24,72.76,107.7
679529,spencer torkelson,389,106,283,27.25,72.75,107.6
650391,eloy jiménez,337,92,245,27.3,72.7,107.4
624431,jose trevino,227,62,165,27.31,72.69,107.3
519317,giancarlo stanton,463,127,336,27.43,72.57,106.7
608369,corey seager,513,141,372,27.49,72.51,106.4
673237,yainer diaz,614,169,445,27.52,72.48,106.2
669134,luis campusano,276,76,200,27.54,72.46,106.1
668885,austin martin,254,70,184,27.56,72.44,106.0
668227,randy arozarena,635,175,460,27.56,72.44,106.0
605137,josh bell,584,161,423,27.57,72.43,105.9
514888,josé altuve,671,185,486,27.57,72.43,105.9
663647,ke'bryan hayes,373,103,270,27.61,72.39,105.7
665161,jeremy peña,641,177,464,27.61,72.39,105.7
664023,ian happ,645,179,466,27.75,72.25,105.0
572233,christian walker,533,148,385,27.77,72.23,104.9
665926,andrés giménez,630,175,455,27.78,72.22,104.8
607732,jacob stallings,277,77,200,27.8,72.2,104.7
596142,gary sánchez,284,79,205,27.82,72.18,104.6
657757,gavin sheets,499,139,360,27.86,72.14,104.4
680776,jarren duran,719,201,518,27.96,72.04,103.9
681807,david fry,393,110,283,27.99,72.01,103.7
686217,sal frelick,525,147,378,28.0,72.0,103.7
694384,nolan schanuel,596,167,429,28.02,71.98,103.6
686668,brenton doyle,589,165,424,28.01,71.99,103.6
691016,tyler soderstrom,214,60,154,28.04,71.96,103.5
671739,michael harris,463,130,333,28.08,71.92,103.3
682998,corbin carroll,665,187,478,28.12,71.88,103.1
690993,colt keith,562,158,404,28.11,71.89,103.1
570482,gio urshela,462,130,332,28.14,71.86,103.0
621020,dansby swanson,583,164,419,28.13,71.87,103.0
680700,richie palacios,312,88,224,28.21,71.79,102.6
668901,mark vientos,485,137,348,28.25,71.75,102.4
672820,lenyn sosa,368,104,264,28.26,71.74,102.3
663837,matt vierling,594,168,426,28.28,71.72,102.2
671218,heliot ramos,516,146,370,28.29,71.71,102.2
668715,spencer steer,647,183,464,28.28,71.72,102.2
665839,enmanuel valdez,212,60,152,28.3,71.7,102.1
650559,bryan de la cruz,604,171,433,28.31,71.69,102.1
669707,jared triolo,427,121,306,28.34,71.66,102.0
687462,spencer horwitz,381,108,273,28.35,71.65,101.9
606115,orlando arcia,595,169,426,28.4,71.6,101.6
677649,ezequiel duran,278,79,199,28.42,71.58,101.6
669701,josh smith,591,168,423,28.43,71.57,101.5
527038,wilmer flores,232,66,166,28.45,71.55,101.4
592663,j. t. realmuto,418,119,299,28.47,71.53,101.3
608385,jesse winker,506,144,362,28.46,71.54,101.3
643565,mike tauchman,347,99,248,28.53,71.47,101.0
657041,lane thomas,529,151,378,28.54,71.46,100.9
666182,bo bichette,322,92,230,28.57,71.43,100.8
663624,ryan mountcastle,500,143,357,28.6,71.4,100.6
645302,víctor robles,297,85,212,28.62,71.38,100.6
666158,gavin lux,486,139,347,28.6,71.4,100.6
680474,max schuemann,461,132,329,28.63,71.37,100.5
669127,shea langeliers,524,150,374,28.63,71.37,100.5
668709,jj bleday,625,179,446,28.64,71.36,100.4
642086,dominic smith,307,88,219,28.66,71.34,100.3
641487,j. p. crawford,436,125,311,28.67,71.33,100.3
683734,andrew vaughn,610,175,435,28.69,71.31,100.2
643289,mauricio dubón,428,123,305,28.74,71.26,100.0
656775,cedric mullins,494,142,352,28.74,71.26,99.9
650859,luis rengifo,302,87,215,28.81,71.19,99.6
669016,brandon marsh,486,140,346,28.81,71.19,99.6
502671,paul goldschmidt,638,184,454,28.84,71.16,99.5
663368,blake perkins,437,126,311,28.83,71.17,99.5
642715,willy adames,686,198,488,28.86,71.14,99.4
666969,adolis garcía,620,179,441,28.87,71.13,99.3
665862,jazz chisholm,615,178,437,28.94,71.06,99.0
664034,ty france,521,151,370,28.98,71.02,98.8
673548,seiya suzuki,569,165,404,29.0,71.0,98.7
623993,anthony santander,658,191,467,29.03,70.97,98.6
671732,lawrence butler,437,127,310,29.06,70.94,98.4
664983,jake mccarthy,492,143,349,29.07,70.93,98.4
553993,eugenio suárez,626,182,444,29.07,70.93,98.4
518792,jason heyward,244,71,173,29.1,70.9,98.2
686823,will brennan,346,101,245,29.19,70.81,97.8
593871,jorge polanco,452,132,320,29.2,70.8,97.7
608841,joey meneses,301,88,213,29.24,70.76,97.6
679032,johan rojas,359,105,254,29.25,70.75,97.5
687263,zach neto,594,174,420,29.29,70.71,97.3
682928,cj abrams,590,173,417,29.32,70.68,97.2
571657,kyle farmer,235,69,166,29.36,70.64,97.0
667670,brent rooker,603,177,426,29.35,70.65,97.0
578428,jose iglesias,320,94,226,29.38,70.62,96.9
669004,mj melendez,459,135,324,29.41,70.59,96.8
665804,miguel amaya,360,106,254,29.44,70.56,96.6
696285,jacob young,523,154,369,29.45,70.55,96.6
681481,kerry carpenter,302,89,213,29.47,70.53,96.5
669224,austin wells,424,125,299,29.48,70.52,96.4
519203,anthony rizzo,359,106,253,29.53,70.47,96.2
672640,otto lopez,436,129,307,29.59,70.41,95.9
660688,keibert ruiz,473,140,333,29.6,70.4,95.9
666624,christopher morel,597,177,420,29.65,70.35,95.7
663853,romy gonzalez,216,64,152,29.63,70.37,95.7
575929,willson contreras,344,102,242,29.65,70.35,95.6
641857,ryan mcmahon,630,187,443,29.68,70.32,95.5
624413,pete alonso,711,211,500,29.68,70.32,95.5
571745,mitch haniger,411,122,289,29.68,70.32,95.5
643396,isiah kiner-falefa,488,145,343,29.71,70.29,95.4
666971,lourdes gurriel,535,159,376,29.72,70.28,95.3
641598,mitch garver,427,127,300,29.74,70.26,95.2
669261,jack suwinski,262,78,184,29.77,70.23,95.1
682985,riley greene,597,178,419,29.82,70.18,94.9
691026,masyn winn,627,187,440,29.82,70.18,94.9
571771,enrique hernández,392,117,275,29.85,70.15,94.8
592192,mark canha,449,134,315,29.84,70.16,94.8
664728,kyle isbel,435,130,305,29.89,70.11,94.6
457705,andrew mccutchen,505,151,354,29.9,70.1,94.5
608701,rob refsnyder,307,92,215,29.97,70.03,94.2
676694,jake meyers,507,152,355,29.98,70.02,94.2
592669,hunter renfroe,423,127,296,30.02,69.98,94.0
670242,matt wallner,253,76,177,30.04,69.96,93.9
676369,nelson velázquez,223,67,156,30.04,69.96,93.9
641933,tyler o'neill,459,138,321,30.07,69.93,93.8
669911,michael toglia,452,136,316,30.09,69.91,93.7
608348,carson kelly,309,93,216,30.1,69.9,93.6
502110,j. d. martinez,511,154,357,30.14,69.86,93.5
444482,david peralta,272,82,190,30.15,69.85,93.4
691718,pete crow-armstrong,411,124,287,30.17,69.83,93.3
663898,brendan rodgers,523,158,365,30.21,69.79,93.1
621028,kevin newman,311,94,217,30.23,69.77,93.1
678009,parker meadows,311,94,217,30.23,69.77,93.1
681624,andy pages,446,135,311,30.27,69.73,92.9
592206,nick castellanos,667,202,465,30.28,69.72,92.8
660821,jesús sánchez,528,160,368,30.3,69.7,92.7
669289,santiago espinal,389,118,271,30.33,69.67,92.6
596146,max kepler,395,120,275,30.38,69.62,92.4
518595,travis d'arnaud,339,103,236,30.38,69.62,92.4
609280,miguel andújar,319,97,222,30.41,69.59,92.3
670032,nicky lopez,440,134,306,30.45,69.55,92.1
600869,jeimer candelario,452,138,314,30.53,69.47,91.7
660766,juan yepez,252,77,175,30.56,69.44,91.6
686780,pedro pagés,219,67,152,30.59,69.41,91.5
664238,dylan moore,435,133,302,30.57,69.43,91.5
676914,davis schneider,451,138,313,30.6,69.4,91.4
680718,addison barger,225,69,156,30.67,69.33,91.1
656896,emmanuel rivera,303,93,210,30.69,69.31,91.0
702616,jackson holliday,208,64,144,30.77,69.23,90.7
656555,rhys hoskins,516,159,357,30.81,69.19,90.5
668670,jake rogers,350,108,242,30.86,69.14,90.3
543257,robbie grossman,245,76,169,31.02,68.98,89.6
660707,elehuris montero,235,73,162,31.06,68.94,89.5
456781,donovan solano,322,100,222,31.06,68.94,89.5
671213,triston casas,225,70,155,31.11,68.89,89.3
641343,jake bauers,347,108,239,31.12,68.88,89.2
665750,leody taveras,517,161,356,31.14,68.86,89.1
682829,elly de la cruz,683,213,470,31.19,68.81,89.0
543309,kyle higashioka,279,87,192,31.18,68.82,89.0
608336,joey gallo,247,77,170,31.17,68.83,89.0
666397,edouard julien,291,91,200,31.27,68.73,88.6
593160,whit merrifield,329,103,226,31.31,68.69,88.5
676801,chas mccormick,258,81,177,31.4,68.6,88.1
623912,harold ramírez,229,72,157,31.44,68.56,87.9
666310,bo naylor,391,123,268,31.46,68.54,87.8
656582,connor joe,394,124,270,31.47,68.53,87.8
689172,brett wisely,273,86,187,31.5,68.5,87.7
664913,seth brown,390,123,267,31.54,68.46,87.5
641680,jonah heim,482,152,330,31.54,68.46,87.5
606192,teoscar hernández,640,202,438,31.56,68.44,87.4
453568,charlie blackmon,487,154,333,31.62,68.38,87.2
669394,jake burger,560,177,383,31.61,68.39,87.2
543807,george springer,598,189,409,31.61,68.39,87.2
664056,harrison bader,435,138,297,31.72,68.28,86.8
666149,tyler fitzgerald,337,107,230,31.75,68.25,86.7
666160,mickey moniak,416,132,284,31.73,68.27,86.7
660644,vidal bruján,271,86,185,31.73,68.27,86.7
683011,anthony volpe,693,220,473,31.75,68.25,86.7
621035,chris taylor,242,77,165,31.82,68.18,86.4
702358,trey lipscomb,204,65,139,31.86,68.14,86.2
666134,nolan jones,279,89,190,31.9,68.1,86.1
677870,leo jimenez,210,67,143,31.9,68.1,86.0
657656,ramón laureano,306,98,208,32.03,67.97,85.6
553869,elías díaz,340,109,231,32.06,67.94,85.4
666139,josh lowe,386,124,262,32.12,67.88,85.2
624428,adam frazier,288,93,195,32.29,67.71,84.5
669221,sean murphy,263,85,178,32.32,67.68,84.4
595879,javier báez,275,89,186,32.36,67.64,84.3
670764,taylor walls,253,82,171,32.41,67.59,84.1
681297,colton cowser,567,184,383,32.45,67.55,83.9
543877,christian vázquez,311,101,210,32.48,67.52,83.8
642731,thairo estrada,366,119,247,32.51,67.49,83.7
664040,brandon lowe,411,134,277,32.6,67.4,83.3
628451,andy ibáñez,248,81,167,32.66,67.34,83.1
607680,kevin pillar,312,102,210,32.69,67.31,83.0
657136,connor wong,480,157,323,32.71,67.29,82.9
641658,garrett hampson,232,76,156,32.76,67.24,82.8
642708,amed rosario,338,111,227,32.84,67.16,82.4
672284,jarred kelenic,441,145,296,32.88,67.12,82.3
680777,ryan jeffers,452,149,303,32.96,67.04,82.0
677587,brayan rocchio,443,146,297,32.96,67.04,82.0
666181,will benson,376,124,252,32.98,67.02,81.9
608671,travis jankowski,206,68,138,33.01,66.99,81.8
682626,francisco álvarez,357,118,239,33.05,66.95,81.7
670042,luke raley,445,147,298,33.03,66.97,81.7
666185,dylan carlson,266,88,178,33.08,66.92,81.5
663743,nick fortes,329,109,220,33.13,66.87,81.4
656413,stuart fairchild,229,76,153,33.19,66.81,81.2
666176,jo adell,446,148,298,33.18,66.82,81.2
650489,willi castro,626,210,416,33.55,66.45,79.9
592273,brandon drury,351,118,233,33.62,66.38,79.6
641584,jake fraley,374,126,248,33.69,66.31,79.4
669234,justyn-henry malloy,239,81,158,33.89,66.11,78.6
543510,james mccann,232,79,153,34.05,65.95,78.1
624641,edmundo sosa,278,95,183,34.17,65.83,77.7
680869,zack gelof,531,182,349,34.27,65.73,77.3
666152,david hamilton,320,110,210,34.38,65.62,77.0
682177,daniel schneemann,221,76,145,34.39,65.61,76.9
669222,nick senzel,267,92,175,34.46,65.54,76.7
682622,noelvi marte,243,84,159,34.57,65.43,76.3
678662,ezequiel tovar,681,236,445,34.65,65.35,76.0
669720,austin hays,245,85,160,34.69,65.31,75.9
621438,tyrone taylor,361,126,235,34.9,65.1,75.2
668904,royce lewis,321,112,209,34.89,65.11,75.2
678882,ceddanne rafaela,558,195,363,34.95,65.05,75.0
572191,michael taylor,286,100,186,34.97,65.03,75.0
594807,adam duvall,323,113,210,34.98,65.02,74.9
605113,nick ahmed,217,76,141,35.02,64.98,74.8
686676,korey lee,391,137,254,35.04,64.96,74.7
681351,logan o'hoppe,513,180,333,35.09,64.91,74.6
624503,nick gordon,270,95,175,35.19,64.81,74.3
595909,jake cave,343,121,222,35.28,64.72,74.0
595281,kevin kiermaier,271,97,174,35.79,64.21,72.3
622761,jorge mateo,203,73,130,35.96,64.04,71.8
673357,luis robert,410,148,262,36.1,63.9,71.4
669065,kyle stowers,210,76,134,36.19,63.81,71.1
669357,nolan gorman,386,140,246,36.27,63.73,70.8
666163,ben rortvedt,322,117,205,36.34,63.66,70.6
641313,tim anderson,225,84,141,37.33,62.67,67.7
663698,joey bart,283,106,177,37.46,62.54,67.3
672279,michael siani,333,125,208,37.54,62.46,67.1
662139,daulton varsho,495,186,309,37.58,62.42,67.0
678877,jhonkensy noel,209,79,130,37.8,62.2,66.3
678246,miguel vargas,237,90,147,37.97,62.03,65.8
676356,jonny deluca,363,138,225,38.02,61.98,65.7
657557,paul dejong,476,181,295,38.03,61.97,65.7
676609,josé caballero,468,178,290,38.03,61.97,65.7
624415,cavan biggio,209,80,129,38.28,61.72,65.0
642350,josé siri,433,166,267,38.34,61.66,64.8
666150,dominic fletcher,233,90,143,38.63,61.37,64.1
696100,hunter goodman,224,87,137,38.84,61.16,63.5
694388,joey loperfido,262,109,153,41.6,58.4,56.6
